# Digitised from Texas Instruments TIDA-01492 design guide (TIDUDA4, Figure 47),
# "150-kHz to 30-MHz Conducted Emissions - Peak and Average Detection".
# (c) Texas Instruments Incorporated; reproduced here as measured reference data
# for EMC-pipeline validation (ABT #810). Not Faraday's to license.
#
# Board:      TIDA-01492, LM73605-Q1 front end at 2.2 MHz, CISPR 25 Class 5 target
# Instrument: Rohde & Schwarz receiver, Ref Lvl 70 dBuV, RBW 10 kHz, VBW 30 kHz,
#             sweep 10 s, RF Att 10 dB, 150 kHz - 30 MHz log sweep, 17 Jul 2017
# Method:     scripts/digitize_ce_screenshot.py, topmost trace pixel per column
# Checks:     marker 13.42 dBuV @ 30 MHz -> 13.27 digitised (0.15 dB);
#             Class 5 limit lines recovered at 54.04/34.09 (MW) and 50.05 (LW AV)
#             against Faraday's own 54/34/50 - see docs/validation-conducted.md
#
# Accuracy: about +/-0.5 dB from the pixel grid, worse where the trace is steep
# or the two traces cross. Fine for a per-decade error band; not for pinning a
# single harmonic.
frequency_hz,detector,level_dbuv
5.34701e+06,peak,10.65
5.37545e+06,peak,10.77
5.40404e+06,peak,11.15
5.43279e+06,peak,10.77
5.46169e+06,peak,10.02
5.49075e+06,peak,9.78
5.51995e+06,peak,9.65
5.57884e+06,peak,11.15
5.60852e+06,peak,11.02
5.63835e+06,peak,10.40
5.66834e+06,peak,10.27
5.6985e+06,peak,9.65
5.72881e+06,peak,9.53
5.75929e+06,peak,9.28
5.78992e+06,peak,9.03
5.82072e+06,peak,8.90
5.85169e+06,peak,9.03
5.88282e+06,peak,9.65
5.91411e+06,peak,9.28
5.94557e+06,peak,9.90
5.9772e+06,peak,9.78
6.009e+06,peak,9.90
6.04096e+06,peak,10.27
6.0731e+06,peak,10.90
6.1054e+06,peak,11.27
6.13788e+06,peak,11.90
6.17053e+06,peak,11.77
6.20336e+06,peak,11.65
6.23636e+06,peak,11.02
6.26953e+06,peak,10.40
6.30288e+06,peak,10.27
6.33641e+06,peak,16.63
6.37012e+06,peak,16.51
6.404e+06,peak,23.37
6.43807e+06,peak,23.24
6.47232e+06,peak,23.12
6.50675e+06,peak,17.51
6.54136e+06,peak,13.14
6.57616e+06,peak,13.27
6.61114e+06,peak,15.14
6.64631e+06,peak,16.01
6.68167e+06,peak,16.88
6.71721e+06,peak,16.76
6.75294e+06,peak,17.13
6.78887e+06,peak,17.01
6.82498e+06,peak,16.88
6.86129e+06,peak,14.26
6.89779e+06,peak,12.39
6.93448e+06,peak,12.27
6.97137e+06,peak,11.90
7.00845e+06,peak,11.27
7.04573e+06,peak,11.40
7.08321e+06,peak,11.27
7.12089e+06,peak,11.15
7.15877e+06,peak,11.77
7.19686e+06,peak,12.64
7.23514e+06,peak,12.52
7.27363e+06,peak,9.65
7.31232e+06,peak,9.78
7.35122e+06,peak,10.40
7.39033e+06,peak,10.27
7.42964e+06,peak,9.65
7.46916e+06,peak,9.28
7.5089e+06,peak,9.40
7.54884e+06,peak,9.28
7.589e+06,peak,9.28
7.62937e+06,peak,9.28
7.66995e+06,peak,10.15
7.71075e+06,peak,10.02
7.75177e+06,peak,9.40
7.79301e+06,peak,9.28
7.83446e+06,peak,9.90
7.87614e+06,peak,9.78
7.91804e+06,peak,9.90
7.96016e+06,peak,10.27
8.0025e+06,peak,10.65
8.04507e+06,peak,10.52
8.08787e+06,peak,10.40
8.13089e+06,peak,9.78
8.17415e+06,peak,11.15
8.21763e+06,peak,11.02
8.26134e+06,peak,10.90
8.30529e+06,peak,9.78
8.34947e+06,peak,10.65
8.39389e+06,peak,10.52
8.43854e+06,peak,9.40
8.48343e+06,peak,9.28
8.52856e+06,peak,21.87
8.57393e+06,peak,21.75
8.61954e+06,peak,11.15
8.66539e+06,peak,11.77
8.71148e+06,peak,13.14
8.75783e+06,peak,14.01
8.80441e+06,peak,14.89
8.85125e+06,peak,14.76
8.89834e+06,peak,14.64
8.94567e+06,peak,13.02
8.99326e+06,peak,11.27
9.0411e+06,peak,10.77
9.08919e+06,peak,10.65
9.13754e+06,peak,10.52
9.18615e+06,peak,10.40
9.23502e+06,peak,10.27
9.28415e+06,peak,10.15
9.33353e+06,peak,10.02
9.38318e+06,peak,9.90
9.4331e+06,peak,9.78
9.48328e+06,peak,10.65
9.53373e+06,peak,10.52
9.58444e+06,peak,9.40
9.63543e+06,peak,9.28
9.68668e+06,peak,9.15
9.73821e+06,peak,9.28
9.79002e+06,peak,10.65
9.8421e+06,peak,11.77
9.89445e+06,peak,12.89
9.94709e+06,peak,12.77
1e+07,peak,11.65
1.00532e+07,peak,11.27
1.01067e+07,peak,11.40
1.01604e+07,peak,11.27
1.02145e+07,peak,11.65
1.02688e+07,peak,12.27
1.03235e+07,peak,13.14
1.03784e+07,peak,13.02
1.04336e+07,peak,12.39
1.04891e+07,peak,12.27
1.05449e+07,peak,11.15
1.0601e+07,peak,11.02
1.06574e+07,peak,27.61
1.07141e+07,peak,27.23
1.07711e+07,peak,12.64
1.08283e+07,peak,12.77
1.0886e+07,peak,13.14
1.09439e+07,peak,13.02
1.10021e+07,peak,15.39
1.10606e+07,peak,15.26
1.11194e+07,peak,15.26
1.11786e+07,peak,12.27
1.12381e+07,peak,9.90
1.12978e+07,peak,9.78
1.13579e+07,peak,9.65
1.14184e+07,peak,9.78
1.14791e+07,peak,10.15
1.15402e+07,peak,10.02
1.16016e+07,peak,10.15
1.16633e+07,peak,10.27
1.17253e+07,peak,11.40
1.17877e+07,peak,11.27
1.18504e+07,peak,11.40
1.19134e+07,peak,12.27
1.19768e+07,peak,13.64
1.20405e+07,peak,13.52
1.21046e+07,peak,13.64
1.2169e+07,peak,13.27
1.22337e+07,peak,13.52
1.22988e+07,peak,12.52
1.23642e+07,peak,11.65
1.243e+07,peak,12.02
1.24961e+07,peak,12.89
1.25626e+07,peak,12.77
1.26294e+07,peak,11.15
1.27641e+07,peak,26.11
1.2832e+07,peak,25.99
1.29003e+07,peak,25.86
1.29689e+07,peak,18.75
1.30379e+07,peak,15.39
1.31072e+07,peak,15.26
1.3177e+07,peak,13.64
1.32471e+07,peak,13.27
1.33175e+07,peak,12.64
1.33884e+07,peak,11.77
1.34596e+07,peak,10.90
1.35312e+07,peak,11.27
1.36032e+07,peak,11.90
1.36755e+07,peak,11.77
1.37483e+07,peak,11.90
1.38214e+07,peak,11.77
1.3895e+07,peak,11.65
1.39689e+07,peak,11.52
1.40432e+07,peak,11.65
1.41179e+07,peak,12.02
1.4193e+07,peak,12.39
1.42685e+07,peak,12.27
1.43444e+07,peak,12.27
1.44207e+07,peak,11.27
1.44974e+07,peak,10.40
1.45745e+07,peak,10.27
1.46521e+07,peak,10.40
1.473e+07,peak,10.77
1.48084e+07,peak,11.15
1.48871e+07,peak,12.52
1.49663e+07,peak,14.14
1.50459e+07,peak,13.77
1.5126e+07,peak,13.89
1.52064e+07,peak,13.77
1.52873e+07,peak,17.63
1.53687e+07,peak,17.26
1.54504e+07,peak,17.51
1.55326e+07,peak,15.01
1.56152e+07,peak,13.39
1.56983e+07,peak,13.27
1.57818e+07,peak,12.52
1.58658e+07,peak,12.02
1.59502e+07,peak,11.65
1.6035e+07,peak,11.77
1.61203e+07,peak,12.14
